POI,Lon,Lat
street_Castellana,-3.690171389,40.42693735
street_Castellana,-3.690351052,40.42626719
street_Castellana,-3.690530715,40.42554916
street_Castellana,-3.690728345,40.42483797
street_Castellana,-3.690890042,40.42420882
street_Castellana,-3.69114157,40.42364122
street_Castellana,-3.691366149,40.42312148
street_Castellana,-3.691563778,40.4226291
street_Castellana,-3.691806323,40.42206148
street_Castellana,-3.692075818,40.42141863
street_Castellana,-3.692327346,40.42083049
street_Castellana,-3.692569891,40.42028338
street_Castellana,-3.69279447,40.41974994
street_Castellana,-3.692983116,40.4192712
street_Castellana,-3.693117863,40.41875827
street_Castellana,-3.693252611,40.41830689
street_Castellana,-3.693378375,40.41788286
street_Castellana,-3.693486173,40.41747935
street_Castellana,-3.693629903,40.4170006
street_Castellana,-3.693755667,40.4165492
street_Castellana,-3.693899398,40.41609781
street_Castellana,-3.694016179,40.41563957
street_Castellana,-3.694123977,40.41531127
street_Castellana,-3.694123977,40.41509925
street_Castellana,-3.694043128,40.41488723
street_Castellana,-3.69396228,40.41466836
street_Castellana,-3.693854482,40.41436058
street_Castellana,-3.693728718,40.4140528
street_Castellana,-3.69362092,40.41373818
street_Castellana,-3.693504139,40.41340988
street_Castellana,-3.693351425,40.41302686
street_Castellana,-3.693198712,40.41260279
street_Castellana,-3.693037015,40.41217873
street_Castellana,-3.692893285,40.4117615
street_Castellana,-3.692749554,40.41135795
street_Castellana,-3.692605824,40.41098176
street_Castellana,-3.692462093,40.41059872
street_Castellana,-3.69230938,40.41014728
street_Castellana,-3.692129717,40.40968216
street_Castellana,-3.691959037,40.40927176
street_Castellana,-3.691824289,40.40882715
street_Castellana,-3.692012936,40.40840991
street_Castellana,-3.692426161,40.40797897
street_Castellana,-3.692848369,40.40754804
street_Castellana,-3.693207695,40.40717867
street_Castellana,-3.693351425,40.4066588
street_Castellana,-3.693396341,40.40611841
street_Castellana,-3.693468206,40.40553014
street_Castellana,-3.693531088,40.40494186
street_Castellana,-3.693602954,40.40434673
street_Castellana,-3.693638886,40.40379264
street_Castellana,-3.693728718,40.40317014
street_Castellana,-3.6937916,40.40256131
street_Castellana,-3.693872448,40.40187724
